pays;iso3;pop_million_2023;%pop_moins15_2023;%Pop_60plus_2022;indice_fertilite_2023;esperance_vie_homme_2023;esperance_vie_femme_2023;Densite_2022;GDP_millionUSD_2020;part_agriculteurs_ %_2020;pop_urbaine_ %_2022;RNB_percapita_usd_2021;%scolarisation_primaire_2017;%alphabetisation_20192021;Idh_2021;age_scolarisation_attendue_2021;age_moyen_scolarisation_2021
Lao People's Democratic Republic;LAO;7,6;30;7,2;2,4;67;71;32,6;19,082;58,75777;37,592;8170;92,48614;87,0699996948242;0,607;10,13611031;5,374
Latvia;LVA;1,8;15;29,1;1,6;72;80;29,7;33,707;7,219761;68,54;34480;96,30354;99,8899993896484;0,863;16,20252991;13,25271988
Lebanon;LBN;5,4;27;14,4;2,1;74;78;536,6;63,546;3,901967;89,262;13400;;95,3000030517578;0,706;11,28587;8,718636
Lesotho;LSO;2,3;34;6,6;2,9;52;58;75,9;2,273;30,47454;29,943;3030;93,31062;81,0199966430664;0,514;12,04087801;6,010184707
Liberia;LBR;5,4;40;5,1;4;61;63;55,1;2,481;41,22857;53,065;1470;44,25563;;0,481;10,42078972;5,082
Libya;LBY;6,9;28;7,7;2,4;70;77;4,1;29,153;16,77207;81,302;22010;;;0,718;12,85428;7,599985
Lithuania;LTU;2,7;15;28,5;1,6;72;81;43,9;56,547;5,689827;68,465;42130;98,17529;99,8300018310547;0,875;16,28506088;13,49810028
Luxembourg;LUX;0,7;16;20,8;1,4;81;85;250;73,353;0,7757386;91,881;91810;95,03083;;0,93;14,39813995;13,01519217
Madagascar;MDG;30,3;39;5,3;3,7;64;69;50,9;13,008;74,25458;39,882;1600;95,60378;77,25;0,501;10,13499142;5,120468534
Malawi;MWI;20,9;42;3,8;3,8;60;67;215,8;11,762;62,43581;17,98;1610;;67,3099975585938;0,512;12,67898523;4,489695385
Malaysia;MYS;34,3;22;11,4;1,8;74;79;103,3;336,664;9,950604;78,214;28280;99,64564;94,9711303710938;0,803;13,34304047;10,64505959
