PAYS;Superf;Pop;tx_natalite;tx_mortalite;pop2050;tx_mort_infantile;indice_fecond;moins15;plus65;espvie_homme;espvie_femme;RNB_hab
Botswana;567;2,6;23;7;3,7;33;2,8;33;4;63;68;15419
Brésil;8358;215,3;13;8;231;12;1,6;20;10;70;77;15528
Brunei;5,8;0,45;13;5;0,5;9;1,8;22;6;73;77;
Bulgarie;108;6,8;8;23;5,2;5;1,6;14;22;68;75;26046
BurkinaFaso;274;22,7;35;9;41;47;4,7;44;3;58;62;2271
Burundi;26;12,9;34;7;24;36;5;46;2;60;64;777
Cambodge;181;16,8;19;7;20;21;2,3;29;6;67;73;4531
Cameroun;466;27,9;34;8;51;46;4,4;42;3;59;63;3991
Canada;9093;38,5;10;8;46;4;1,5;16;19;81;85;51814
Cap-Vert;4;0,59;17;6;0,73;11;1,9;26;6;70;79;6586
Centrafricaine(République);623;5,6;42;11;12;68;5,9;48;3;52;57;983
Chili;753;19,6;12;7;21;5;1,5;18;13;77;82;27018
Chine;9600;1425,9;8;7;1313;6;1,2;17;14;76;81;18985
HongKong;1,1;7,5;6;8;7;1;0,8;12;20;82;87;69929
Chypre;9,2;1,3;10;7;1,4;2;1,3;16;15;80;84;28508
Colombie;1124;51,9;14;7;57;11;1,7;21;9;70;77;16381
Comores;1,9;0,84;29;9;1,2;46;3,9;38;4;62;66;3528
Congo;341;6;30;7;10;37;4,1;41;3;62;65;2767
Congo(RépdémDu);2267;99;42;9;218;50;6,1;47;3;58;62;1131
CoréeduNord;120;26,1;13;9;26;14;1,8;19;12;71;76;
CoréeduSud;99;51,8;6;7;46;2;0,9;12;17;81;87;47413
CostaRica;51;5,2;12;7;5,7;7;1,5;20;11;75;80;21739
Côted’Ivoire;318;28,2;33;9;51;57;4,3;41;2;58;60;5671
Croatie;56;4;8;13;3,3;3;1,4;14;22;76;82;32553
Cuba;107;11,2;9;10;10;4;1,4;16;16;76;81;
Danemark;42;5,9;11;9;6,4;3;1,7;16;20;80;84;66750
Djibouti;23;1,1;22;9;1,5;37;2,8;30;5;60;66;5204
Dominicaine(République);48;11,2;18;6;13;24;2,2;27;7;71;78;19441
Dominique;0,75;0,07;13;9;0,07;11;1,6;20;10;70;76;11970
Égypte;995;111;22;6;160;16;2,9;33;5;68;73;12317
Émiratsarabesunis;71;9,4;10;2;11;5;1,4;15;2;78;81;
Équateur;248;18;17;5;22;11;2;26;8;75;80;11540
Érythrée;121;3,7;28;7;6;29;3,8;39;4;64;69;
Espagne;502;47,6;7;9;44;2;1,3;14;20;81;87;40846
Estonie;43;1,3;10;12;1,2;2;1,7;16;21;75;83;41589
Eswatini;17;1,2;24;12;1,7;39;2,8;35;4;53;61;8720
États-Unis;9148;338,3;11;9;375;5;1,7;18;17;75;81;69416
Éthiopie;1000;123,4;32;6;215;32;4,1;40;3;63;69;2535
Fidji;18;0,93;19;8;1,1;18;2,5;29;6;66;70;11182
Finlande;302;5,5;9;10;5,5;2;1,4;15;23;80;85;55996
France(métropolitaine);551;64,6;10;9;66;3;1,8;17;22;80;86;54233
Gabon;258;2,4;27;7;3,8;29;3,5;36;4;63;68;14171
